File Number,Project Type,Status,Filing Date,Project Name,APN,Street Address,City,State,ZIP,Latitude,Longitude,Address,Housing Type,Residential Units,Non-Residential Area,Hotel Rooms,Residential Care Units,Approval Date,Description,Plans,geometry,Planning Area,General Plan Designation,City Council District,Development Inspector,Utility Inspector,Water Service Provider,Transportation Area Zone,Special District Landscaping,Soil Type,School District Elementary,School District Secondary,Property Based Improvement District,Owl Overwintering Habitat,Natural Asbestos,HistoricArea,PovertyRate,Flood_Hazard_Area,Census Tract Languages,AirportNoise,Walk Score,Walk Score Description,Seismic Hazards,Road Noise,SNI Area,Name of Growth Area,Planning Project Manager,Public Works Engineer,Public Works File Number,Public Works Senior Engineer,Applicant Entity,Applicant Name,Representative Entity,Representative Name
H14-029,Industrial,Approved,8/14/14,The Station on North First,101-30-006,2890 N First St,San Jose,CA,95134,37.393154,-121.932843,2890 N. 1st Street,,,1653731,,,12/10/14,"Site Development Permit to allow the demolition of eight existing industrial buildings totaling 364,854 square feet, removal of up to 119 ordinance size and 167 non-ordinance size trees, and the construction of up to 1,653,731 square feet of industrial office and incidental commercial support with up to 1,028,084 square feet of associated parking garages on 24.3 gross acre site.",http://csjpbce.sanjoseca.gov/ecmsviewer/942/465/14465942.pdf,POINT (6145431.909579825 1968808.844287415),North,Transit Employment Center,4,Victor Lopez,Barinder Singh,San Jose Municipal Water System,958,,Clay,Santa Clara Unified School District,Santa Clara Unified School District,,,,,0.05,AH,"Other: 51%, English: 32%, Chinese: 14%, Spanish: 2%, Vietnamese: 1%",,25,Car-Dependent,Liquefaction,65-69,No,Industrial Core Area,RBUSTOS,Michelle Kimball,3-04837,Jeff Lee,BXP North first LP,Mirjam Link,,
H20-015,Industrial,Pending,6/19/20,350 Trimble,977-07-061,350 W Trimble Rd,San Jose,CA,95131,37.38058,-121.934063,350 W. Trimble Road,,,124992,,,,"Site Development Permit to allow an approximately 124,922-square foot building for office/research and development on an approximately 2.06-gross acre site.",,POINT (6145007.37986715 1964236.560163426),North,Industrial Park,4,Victor Lopez,Barinder Singh,San Jose Municipal Water System,973,,Clay,Santa Clara Unified School District,Santa Clara Unified School District,,,,,0.05,X,"Other: 51%, English: 32%, Chinese: 14%, Spanish: 2%, Vietnamese: 1%",60 CNEL,14,Car-Dependent,Liquefaction,,No,North San Jose,AATIENZA,Steven Forster,3-03628,Joe Provenzano,LBA Realty,Scott Landsittel,,
PD22-002,Mixed-use,Pending,1/21/22,Seely Mixed Use,097-15-033,2620 Seely Ave,San Jose,CA,95134,37.395882,-121.917525,0 Seely Ave,,1480,54000,,,,"Planned Development Permit to allow the construction of a mixed-use development consisting of four multifamily buildings and townhomes totaling approximately 1,470 residential units, 52,107 square feet of retail space, and a public park on an approximately 22.2-gross acre site.",,POINT (6149896.425367098 1969734.242762829),North,Industrial Park,4,Victor Lopez,Barinder Singh,San Jose Municipal Water System,972,,Silt Loam,Santa Clara Unified School District,Santa Clara Unified School District,,Potential,,,0.05,X,"Other: 51%, English: 32%, Chinese: 14%, Spanish: 2%, Vietnamese: 1%",,25,Car-Dependent,Liquefaction,,No,,AATIENZA,Alex Wong,3-18127,Michelle Kimball,The Hanover Company,Scott Youdall,The Schoennauer Co LLC,Erik Schoennauer
H15-037,Industrial,Approved,8/25/15,Broadcom expansion/Innovation Place,097-33-116,3130 Zanker Rd,San Jose,CA,95134,37.400803,-121.931293,3130 Zanker Road,,,536949,,,12/2/15,"Site Development Permit to allow the removal of up to 110 ordinance size trees, façade improvements to two of the four existing office/R&D buildings, and the construction of 536,949 square feet of new office/R&D uses and other permitted uses of the IP Industrial Park Zoning District, two parking garages, and related site improvements at an existing office/R&D facility on a 25.53-gross acre site.",http://csjpbce.sanjoseca.gov/ecmsviewer/813/356/15356813.pdf,POINT (6145924.735600892 1971586.665520948),North,Industrial Park,4,Victor Lopez,Barinder Singh,San Jose Municipal Water System,800,River Oaks,Clay,Santa Clara Unified School District,Santa Clara Unified School District,,,,,0.05,X,"Other: 51%, English: 32%, Chinese: 14%, Spanish: 2%, Vietnamese: 1%",,44,Car-Dependent,Liquefaction,70-74,No,North San Jose,RBUSTOS,Joe Dyke,3-18254,Norman Mascarinas,BXP Zanker Rd LP,,,
PDA12-031-01,Commercial,Under Construction,11/13/15,The Platform Retail,241-04-011,1501 Berryessa Rd,San Jose,CA,95133,37.370117,-121.879842,north side of Berryessa Road on the southern,,,37000,,,4/13/16,"A Planned Development Permit Amendment to the approved, but not constructed multi-family housing development to increase the number of units from 495 to 551 units and up to 37,000 square feet of commercial space and update architecture for Blocks 9, 10 and 11 on 6.3 gross acre site.",http://csjpbce.sanjoseca.gov/ecmsviewer/776/745/15745776.pdf,POINT (6160703.667588737 1960190.51196449),Berryessa,Urban Village,4,Victor Lopez,Barinder Singh,San Jose Water Company,1008,Coyote Creek Trail/Berryessa,Silt Loam,Berryessa Union Elementary School District,East Side Union High School District,,,,,0.12,X,"Chinese: 34%, English: 27%, Other: 23%, Vietnamese: 10%, Spanish: 6%",,41,Car-Dependent,Liquefaction,"65-69 FWY, 60-64",No,Berryessa BART,JTU,Hayde Pacheco,3-16680,Vivian Tom,Bumb & Associates/Flea Market Inc.,,,
PDA08-069-01,Commercial,Completed,9/17/18,Market Park Shopping Center,254-17-084,1433 Berryessa Rd,San Jose,CA,95133,37.369114,-121.880147,1590 Berryessa Road,,,101000,,,5/8/19,"Planned Development Permit Amendment to amend a previously approved but not yet constructed Planned Development Permit (File No. PD08-069) for a revised site layout, grading & drainage, landscape, & architectural plans to allow a commercial shopping center including a reduction of square footage from 118,580 to 101,000 square feet, a fuel station, off-sale of alcohol (full range of alcoholic beverages), , late night hours, and drive-through use on an approximately 9.67-gross acre site",http://csjpbce.sanjoseca.gov/ecmsviewer/607/212/19212607.pdf,POINT (6160609.659687992 1959826.662122552),Berryessa,Urban Village,4,Victor Lopez,Barinder Singh,San Jose Water Company,1008,Coyote Creek Trail/Berryessa,Silt Loam,Berryessa Union Elementary School District,East Side Union High School District,,,,,0.12,X,"Chinese: 34%, English: 27%, Other: 23%, Vietnamese: 10%, Spanish: 6%",,41,Car-Dependent,Liquefaction,"70-74, 60-64, 65-69 FWY",No,Berryessa BART,SFARMER,Joe Provenzano,3-16680,Joe Provenzano,"Mercado Properties, LLC",Loren Sherdel Schoenstein,The Schoennauer Co LLC,Erik Schoennauer
PD08-001,Commercial,Approved,1/7/08,Pepper Lane Mixed Use,254-15-072,1110 Pepper Rd,San Jose,CA,95133,37.380939,-121.865446,southeast corner of Berryessa and Jackson,,,30000,,,10/10/08,"Planned Development Permit to allow the construction of 371 residential units, 30,000 sq ft of retail space and to allow a drive-thru pharmacy use on a 20.52 gross acre site.",http://csjpbce.sanjoseca.gov/ecmsviewer/451/078/10078451.pdf,POINT (6164944.136793943 1964069.071388236),Alum Rock,Mixed Use Neighborhood,4,Jose Alcazar,Barinder Singh,San Jose Water Company,1003,,Silt Loam,Berryessa Union Elementary School District,East Side Union High School District,,,,,0.09,X,"English: 32%, Other: 26%, Chinese: 17%, Vietnamese: 14%, Spanish: 11%",,56,Somewhat Walkable,No,"60-64, 65-69",No,,RMATHEW,Vivian Tom,3-12552,,Berryessa-Jackson Partners LLC,,,
H21-015,Residential,Pending,4/27/21,North Capitol Residential Tower,254-29-028,905 N Capitol Ave,San Jose,CA,95133,37.382769,-121.857792,905 North Capitol Ave,MF,383,,,,,"Site Development permit to allow the demolition of an existing single-family residential building and two accessory structures, the removal of ___ ordinance-sized trees and ____ non-ordinance-sized trees, and the construction of four three-story, 8-unit townhouse buildings on a 1.35-acre site, and a 7-story mixed-use building consisting of 345 apartment units and approximately 3,000 square feet of office space with one level of underground parking on a 2.12-acre site. ",,POINT (6167177.473188765 1964702.956680339),Berryessa,Transit Residential,4,Jose Alcazar,Barinder Singh,San Jose Water Company,990,,Silt Loam,Berryessa Union Elementary School District,East Side Union High School District,,,,,0.07,AO,"English: 35%, Chinese: 22%, Vietnamese: 18%, Other: 14%, Spanish: 11%",,66,Somewhat Walkable,No,,,,AWANG,Jason Yan,3-24467,Joe Provenzano,The Hanover Company,Scott Youdall,The Schoennauer Co LLC,Erik Schoennauer
CP20-015,Residential,Approved,4/30/20,Villa Del Sol Mixed Use Residential,421-07-029,1936 Alum Rock Ave,San Jose,CA,95116,37.354458,-121.850194,1936 Alum Rock Ave,MF,194,,,,4/14/21,"Conditional Use Permit to allow: The construction of a six-story mixed-use building with 3,000 square feet of commercial and podium parking on the ground floor and 194 units of 100% affordable multi-family units on the upper floors in the Alum Rock Urban Village Plan and the MS-G Zoning District. Additional policy review for Riparian Corridor, Grand Boulevard, and Neighborhood Business District. Density Bonus summary: 194 units total, 10% restricted for ELI, 10% restricted for VLI, 20% restricted for LI, and 60% restricted MI (100% affordable); No Density Bonus request. Density Bonus parking reduction applied (0.5 parking spaces per unit); Incentive 1: Reduce Private and Common Open Space from 19,400 square feet of common open space and 5,820 square feet of private open space to 11,438 square feet of common open space and 745 square feet of private open space. Incentive 2: Reduce First Floor Height of Commercial Space from 15 feet to 11 feet.",http://csjpbce.sanjoseca.gov/ecmsviewer/977/122/45122977.pdf,POINT (6169236.106644127 1954363.939061936),Alum Rock,Urban Village,5,Jose Alcazar,Barinder Singh,San Jose Water Company,881,,Clay Loam,Alum Rock Union Elementary School District,East Side Union High School District,,,,,0.16,X,"Spanish: 59%, English: 21%, Vietnamese: 9%, Chinese: 6%, Other: 5%",,77,Very Walkable,Liquefaction,,Mayfair,Alum Rock,LMEINERS,Tiffany Pong,3-16975,Samuel Yung,"Pacific West Communities, Inc.",,,Darren Berberian
CP18-044,Residential,Under Construction,12/19/18,Affirmed housing,484-41-165,2348 Alum Rock Ave,San Jose,CA,95116,37.358644,-121.842387,2348 Alum Rock Avenue,MF,87,,,,1/14/20,"Conditional Use Permit to allow the demolition of an existing commercial building and surface parking lot, and construction a mixed-use multi-family residential building with 87 affordable housing units and 3,000 square feet of commercial space on an approximately 0.61-gross acre site, pursuant to SB 35 Streamlined Ministerial Approval Process and the State Housing Density Bonuses and Incentives Law.",,POINT (6171526.897430831 1955855.278731325),Alum Rock,Urban Village,5,Jose Alcazar,Barinder Singh,San Jose Water Company,1038,,Clay Loam,Alum Rock Union Elementary School District,East Side Union High School District,,,,,0.16,X,"Spanish: 59%, English: 21%, Vietnamese: 9%, Chinese: 6%, Other: 5%",,72,Very Walkable,No,70-74,Mayfair,Alum Rock Av (NBD Area),RCUETOG,Steven Forster,3-24561,Joe Provenzano,Affirmed Housing Group,,Affirmed Housing Group Inc,Shashank Agrawal
CP20-017,Residential,Approved,6/18/20,Alum Rock Multifamily,434-11-081,1860 Alum Rock Ave,San Jose,CA,95116,37.353715,-121.852426,1860 Alum Rock Ave,MF,65,,,,,"SB 35 Streamlined Ministerial Permit to demolish two existing structures and construct a 5-story 100% affordable housing development with 58 units and 3,165 square feet of commercial space, with a State Density Bonus Request for up to three incentives/concessions and the removal of four non-ordinance sized trees on an approximately 0.66 gross acre site.",,POINT (6168583.51710299 1954102.805330575),Alum Rock,Urban Village,5,Jose Alcazar,Barinder Singh,San Jose Water Company,881,,Clay,Alum Rock Union Elementary School District,East Side Union High School District,,,,,0.16,X,"Spanish: 59%, English: 21%, Vietnamese: 9%, Chinese: 6%, Other: 5%",,81,Very Walkable,Liquefaction,,Mayfair,Alum Rock Av (NBD Area),JOESORDI,Tiffany Pong,3-06657,Michelle Kimball,Charities Housing Development Corporation,Kathy Robinson,Charities Housing Development Corporation,Hai Nguyen
CP17-052,Mixed-use,Approved,11/17/17,Alum Rock Mixed Use,481-19-003,1936 Alum Rock Ave,San Jose,CA,95116,37.354458,-121.850194,1936 Alum Rock Avenue,,94,39000,,,3/27/19,"Conditional Use Permit to allow a mixed-use project of a 39,000 square foot charter junior high school and 94 affordable, multi-family residential units with a State Density Bonus request (Concessions: reduction of residential recreation space requirements, increase in building height stepbacks, and reduction in the required first floor height; Waiver of the motorcycle parking standards; and the use of a 0.5 space per unit parking ratio), on a 1.49-gross acre site. ",http://csjpbce.sanjoseca.gov/ecmsviewer/519/083/19083519.pdf,POINT (6169236.106644127 1954363.939061936),Alum Rock,Urban Village,5,Jose Alcazar,Barinder Singh,San Jose Water Company,881,,Clay Loam,Alum Rock Union Elementary School District,East Side Union High School District,,,,,0.16,X,"Spanish: 59%, English: 21%, Vietnamese: 9%, Chinese: 6%, Other: 5%",,77,Very Walkable,Liquefaction,70-74,Mayfair,Alum Rock Av (NBD Area),RCUETOG,Tiffany Pong,3-16975,Samuel Yung,The Pacific Companies,,,Darren Berberian
CP20-025,Residential,Approved,10/21/20,2880 Alum Rock,481-18-067,2880 Alum Rock Ave,San Jose,CA,95127,37.363549,-121.831702,2880 Alum Rock Ave,MF,166,,,,,"Conditional Use Permit to allow the demolition of an existing vacant 8,200 square foot commercial building and associated surface parking, the removal of three ordinance-size trees and two non-ordinance trees, and the construction of one mixed-use six-story building (Building A) with 7,000 square feet of commercial space and 119 residential units (100% affordable) and one multifamily residential six-story building (Building B) with 45 units (100% affordable)  with associated podium garage parking, landscaping, and amenities.

Density Bonus summary:
•	164 units total, 10% restricted for ELI, 10% restricted for VLI, 20% restricted for LI, and 60% restricted MI (100% affordable)
•	No Density Bonus request
•	Density Bonus parking reduction applied (0.5 parking spaces per unit)
•	Incentive 1: Reduce Private and Common Open Space from 16,400 square feet of common open space and 9,840 square feet of private open space to 5,350 square feet of common open space and no private open space
•	Incentive 2: Reduce Front Setback from 10 feet to 6 feet.",,POINT (6174657.495814512 1957596.661352422),Alum Rock,Neighborhood/Community Commercial,5,Jose Alcazar,Barinder Singh,San Jose Water Company,1045,,Clay Loam,Alum Rock Union Elementary School District,East Side Union High School District,,,,,0.1,X,"Spanish: 62%, English: 20%, Other: 8%, Vietnamese: 7%, Chinese: 3%",,72,Very Walkable,No,,East Valley/680 Communities,Alum Rock Av (East of 680),LMEINERS,Tiffany Pong,3-02834,Samuel Yung,The Pacific Companies,,,Darren Berberian
PD18-016,Residential,Approved,6/29/18,Little Portugal Gateway,481-12-069,1663 Alum Rock Ave,San Jose,CA,95116,37.352448,-121.856957,1663 Alum Rock Avenue,MF,121,,,,11/17/20,"Planned Development Permit to demolish existing buildings and construct a mixed-use 6 story building consisting of 123 residential units, 13,720-SF of ground floor retail and the removal of 6 ordinance sized trees on a 0.92-gross acre site. ",,POINT (6167259.983537742 1953660.597586974),Alum Rock,Urban Village,5,Jose Alcazar,Barinder Singh,San Jose Water Company,1027,,Clay,San Jose Unified School District,San Jose Unified School District,,,,,0.15,X,"Spanish: 47%, Other: 27%, English: 21%, Vietnamese: 3%, Chinese: 2%",,71,Very Walkable,Liquefaction,"65-69 FWY, 70-74",Five Wounds/Brookwood Terrace,Alum Rock Av (5WBT Area),MBLANCO,Jason Yan,3-16968,Samuel Yung,Silicon Sage Builders,,,
H17-041,Industrial,Completed,7/21/17,Knox Trojan Storage,481-39-003,1025 Knox Ave,San Jose,CA,95122,37.33777,-121.847359,1025 Knox Avenue,,,139615,,,2/28/18,"Site Development Permit to construct a three-story, 137,215-square foot self-storage facility with a 1,200-square foot caretaker unit and a 1,200-square foot office on a 1.58-gross acre site in the LI Light Industrial Zoning District.",http://csjpbce.sanjoseca.gov/ecmsviewer/009/512/17512009.pdf,POINT (6169972.558968517 1948276.53035771),Alum Rock,Neighborhood/Community Commercial,5,Jose Alcazar,Barinder Singh,San Jose Water Company,551,,Clay,Alum Rock Union Elementary School District,East Side Union High School District,,,,,0.19,X,"Spanish: 53%, English: 20%, Other: 12%, Vietnamese: 9%, Chinese: 6%",,67,Somewhat Walkable,Liquefaction,"75-79 FWY, 65-69 FWY, 60-64",No,,RSHAH,Jason Yan,3-24126,Samuel Yung,"Trojan Storage of San Jose, LLC",Brett Henry,,
CP20-001,Commercial,Pending,1/6/20,Sunset Mixed Use Complex,481-07-028,2101 Alum Rock Ave,San Jose,CA,95116,37.357391,-121.847996,2101 Alum Rock Avenue,,,28690,,,,"Conditional Use Permit to allow construction of a mixed-use project with approximately 33,841-square foot commercial and 792 residential units on an approximately 10.52-gross acre site.",,POINT (6169890.28741421 1955422.535619027),Alum Rock,Urban Village,5,Jose Alcazar,Barinder Singh,San Jose Water Company,1037,,Clay Loam,Alum Rock Union Elementary School District,East Side Union High School District,,,,,0.11,X,"Spanish: 45%, English: 18%, Other: 17%, Vietnamese: 14%, Chinese: 6%",,78,Very Walkable,,,,Alum Rock Av (NBD Area),,,,,Silicon Sage Builders,,,Shaivali Desai
PD16-025,Mixed-use,Under Construction,8/16/16,The Capitol (Formerly The Orchard),254-06-042,2520 Gimelli Way,San Jose,CA,95133,37.373427,-121.850343,641 N. Capitol Avenue,,188,38000,,,1/24/17,"Planned Development Permit to allow up to 188 residential units, a minimum of 108,000 square feet of commercial space, and commercial condominium on a 10.6 gross acre site.",http://csjpbce.sanjoseca.gov/ecmsviewer/256/257/17257256.pdf,POINT (6169292.456627298 1961270.534529661),Alum Rock,Neighborhood/Community Commercial,5,Jose Alcazar,Barinder Singh,San Jose Water Company,820,,Silt Loam,Alum Rock Union Elementary School District,East Side Union High School District,,,,,0.06,AO,"English: 31%, Other: 23%, Vietnamese: 17%, Spanish: 17%, Chinese: 12%",,59,Somewhat Walkable,No,"75-79 FWY, 70-74, 65-69 FWY",No,N. Capitol Av/McKee Rd,JPROVEDO,Michelle Kimball,3-18939,Jeff Lee,City Ventures Construction Inc.,,,Samantha Hauser
PDA13-049-03,Commercial,Approved,2/21/20,Bay 101 Hotel,235-01-019,1770 N First St,San Jose,CA,95112,37.369488,-121.914563,1770 North 1st Street,,,94040,171,,2/23/22,"Planned Development Permit Amendment to allow the construction of an approximately 94,199-square foot, 171-room four-story hotel, with a 20 percent parking reduction for proximity to transit, on an approximately 2.9-gross acre site.",,POINT (6150611.522619016 1960112.149408381),North,Transit Employment Center,6,Victor Lopez,Barinder Singh,San Jose Water Company,1080,,Silt Loam,Orchard Elementary School District,East Side Union High School District,,,,,0.14,AO,"English: 40%, Other: 30%, Spanish: 19%, Chinese: 8%, Vietnamese: 3%",,51,Somewhat Walkable,Liquefaction,,No,Industrial Core Area,RSHAH,Joe Provenzano,3-16370,Joe Provenzano,S.J. Sweetwater Holdings LLC,John Garcia,HMH,Deena Morsilli
PD15-062,Industrial,Approved,12/9/15,Bay 101 Technology Place office (Phase II),235-01-020,1740 N First St,San Jose,CA,95112,37.369584,-121.915113,1740 N. 1st Street,,,234192,,,12/7/16,"Planned Development Permit to allow the construction of a nine-story, 234,192-square foot office building, seven-story parking garage, and to allow the installation of an 49-foot 6-inch tall freeway sign with a total 495-square foot sign area, 363 square feet of which is programmable electronic sign on a 16.6 gross acre site.",http://csjpbce.sanjoseca.gov/ecmsviewer/051/072/16072051.pdf,POINT (6150452.239878869 1960149.515653772),North,Transit Employment Center,6,Victor Lopez,Barinder Singh,San Jose Water Company,1080,,Silt Loam,San Jose Unified School District,San Jose Unified School District,,,,,0.14,AO,"English: 40%, Other: 30%, Spanish: 19%, Chinese: 8%, Vietnamese: 3%",,52,Somewhat Walkable,Liquefaction,"75-79 FWY, 65-69 FWY, 65-69",No,Industrial Core Area,RBUSTOS,Joe Provenzano,3-16370,Vivian Tom,Bumb & Associates/Flea Market Inc.,,,
PD18-039,Industrial,Approved,9/12/18,Cloud 10 Skyport Plaza,230-29-117,1601 Technology Dr,San Jose,CA,95110,37.362393,-121.916167,1601 Technology Drive,,,350000,,,12/23/19,"Planned Development Permit to allow the construction of a nine-story and one-story industrial office buildings for a total of approximately 350,000 square feet of buildings area, a five-story parking garage, the installation of an on-site standby generator, and the removal of seven ordinance size trees on an approximately 5.29-gross acre site.",http://csjpbce.sanjoseca.gov/ecmsviewer/069/060/19060069.pdf,POINT (6150106.36457561 1957536.1759988),North,Industrial Park,6,Victor Lopez,Barinder Singh,San Jose Water Company,1083,Airport,Clay,Orchard Elementary School District,East Side Union High School District,,,,,0.14,X,"English: 40%, Other: 30%, Spanish: 19%, Chinese: 8%, Vietnamese: 3%",60 CNEL,46,Car-Dependent,Liquefaction,"75-79 FWY, 65-69 FWY",No,,SFARMER,Alex Wong,3-04350,Michelle Kimball,"Hudson Skyport Plaza, LLC, CBRE, Inc.",Mark Lammas ,,Christopher Pearson
H17-044,Commercial,Under Construction,9/2/17,Hilton Garden Inn,235-03-002,101 E Gish Rd,San Jose,CA,95112,37.362886,-121.907963,111 E. Gish Road,,,91460,150,,5/7/18,"Site Development Permit to allow the removal of 16 non-ordinance sized trees, 7 ordinance-sized trees, the demolition of an approximately 56,640 square foot existing 2-story office building and to allow the construction of an approximately 96,260 square foot, 5-story 150-room hotel with approximately 160 at grade parking stalls and site improvements on a 2.2 gross acre site.",http://csjpbce.sanjoseca.gov/ecmsviewer/812/338/17338812.pdf,POINT (6152493.095488784 1957679.684622314),North,Urban Village,6,Victor Lopez,Barinder Singh,San Jose Water Company,1082,,Clay,San Jose Unified School District,San Jose Unified School District,,,,,0.14,X,"English: 40%, Other: 30%, Spanish: 19%, Chinese: 8%, Vietnamese: 3%",,54,Somewhat Walkable,Liquefaction,"75-79 FWY, 65-69, 65-69 FWY",No,Rincon South 2,TTAM,Arlyn Villanueva,3-24052,Jeff Lee,Westlake Urban Inc.,,,
H15-014,Commercial,Approved,3/30/15,Tropicana Shopping Center Expansion,486-10-091,1664 Story Rd,San Jose,CA,95122,37.338617,-121.842646,1664 Story Road,,,31744,,,8/17/21,"Site Development Permit to allow the construction of a new approximately 31,744-square foot three-story retail and office building at an existing shopping center on an approximately 3.39-gross acre site.",,POINT (6171347.017165734 1948565.20290719),Alum Rock,Neighborhood/Community Commercial,7,Jose Alcazar,Barinder Singh,San Jose Water Company,1060,,Clay,Alum Rock Union Elementary School District,East Side Union High School District,,,,,0.07,X,"Spanish: 64%, English: 19%, Vietnamese: 8%, Other: 7%, Chinese: 2%",,79,Very Walkable,Liquefaction,"65-69 FWY, 60-64","East Valley/680 Communities, K.O.N.A.",Story Rd,JTU,Jason Yan,3-05576,Samuel Yung,,Dennis Fong,,
PD15-044,Residential,Completed,9/11/15,Sparta,467-16-076,505 E Santa Clara St,San Jose,CA,95112,37.341651,-121.879865,525 E. Santa Clara Street,MF,85,,,,9/20/16,"Planned Development Permit to allow demolition of existing buildings, removal of 3 ordinance size trees, and the construction of 86 multi-family residential units, 271 bedrooms and 11,530 square feet of commercial space in a seven story building located on the subject 0.627 gross acre site.",http://csjpbce.sanjoseca.gov/ecmsviewer/040/789/17789040.pdf,POINT (6160544.169567457 1949827.155637798),Central,Urban Village,3,Pedro Colin,John Rodriguez,San Jose Water Company,1125,,Silt Loam,San Jose Unified School District,San Jose Unified School District,,,,,0.1,D,"English: 57%, Spanish: 33%, Vietnamese: 5%, Other: 4%, Chinese: 1%",,92,Walker's Paradise,Liquefaction,70-74,13th Street,E. Santa Clara St (West of 17th St),LHAKIMIZ,Alex Wong,3-22010,Michelle Kimball,Horizon Real Properties Holding LLC,,,
H20-007,Residential,Approved,3/26/20,8 St John Urban Residential Developm,467-17-046,488 E Saint John St,San Jose,CA,95112,37.342267,-121.881283,95 N 11th St,MF,33,,,,,"Site Development Permit to allow:
Demolish three residential buildings (approximately 5,653 square feet) 
Remove seven ordinance-sized trees and seven non-ordinance trees
Construct a new four-story residential building with one level of underground parking, including 46 multi-family residential rental units, 30% of which will be restricted affordable for low-income residents, and 30 parking spaces 

Density Bonus summary:
•	46 units total, 30% restricted for LI
•	50% Density Bonus applied
•	Density Bonus parking reductions applied (0.5 spaces per unit)
•	No incentives or waivers requested",,POINT (6160135.30155124 1950057.499982222),Central,Urban Residential,3,Pedro Colin,John Rodriguez,San Jose Water Company,1125,,Silt Loam,San Jose Unified School District,San Jose Unified School District,,,,,0.1,D,"English: 57%, Spanish: 33%, Vietnamese: 5%, Other: 4%, Chinese: 1%",,90,Very Walkable,Liquefaction,,,E. Santa Clara St (West of 17th St),LMEINERS,Tiffany Pong,3-25660,Michelle Kimball,,Dong Chen,"Ko Architects, Inc.",Peter Ko 
SP17-027,Residential,Under Construction,6/26/17,Roosevelt Park Apartments,467-12-001,21 N 21st St,San Jose,CA,95116,37.34619,-121.87149,21 N. 21st Street,MF,80,,,,2/6/19,"Special Use Permit to allow the construction of an eight-story affordable housing development with 80 dwelling units, 10,417 square feet of commercial uses, and a density bonus to allow three concessions (rear setback, common open space reduction, and parking reduction) on an approximately 0.47-gross acre site.",http://csjpbce.sanjoseca.gov/ecmsviewer/142/677/18677142.pdf,POINT (6163002.800373039 1951443.856950998),Central,Urban Village,3,Pedro Colin,John Rodriguez,San Jose Water Company,948,,Silt Loam,San Jose Unified School District,San Jose Unified School District,,,,,0.13,X,"Spanish: 61%, English: 24%, Other: 7%, Vietnamese: 5%, Chinese: 3%",,83,Very Walkable,Liquefaction,"65-69 FWY, 70-74",Five Wounds/Brookwood Terrace,Roosevelt Park,CVANDERZ,Alex Wong,3-22041,Michelle Kimball,"OJK, INC",Andy Whiting,,
H21-031,Residential,Pending,7/19/21,Affordable Tripp,249-66-051,1319 Tripp Ave,San Jose,CA,95116,37.353936,-121.87096,1319 Tripp Ave,MF,51,,,,,"AB 2162 Streamlined Ministerial Permit including a Density Bonus Waiver for parking, to allow the construction of a new 8,324 sq. ft. Program Building with child care center, the conversion of an existing 50-unit apartment complex to permanent supportive & transitional housing with addition of one new apartment unit, including the removal of 3 Ordinance size trees on a 1.3-gross acre site.",,POINT (6163198.164194954 1954261.644953556),Central,Mixed Use Neighborhood,3,Victor Lopez,John Rodriguez,San Jose Water Company,1150,,Silt Loam,San Jose Unified School District,San Jose Unified School District,,,,,0.13,AH,"Spanish: 61%, English: 24%, Other: 7%, Vietnamese: 5%, Chinese: 3%",,68,Somewhat Walkable,Liquefaction,,,,KCHOU,Tiffany Pong,3-25902,Michelle Kimball,CityTeam San Jose,,,John Scott
H20-001,Residential,Approved,1/3/20,Dahlia Apartments,467-11-021,1135 E Santa Clara St,San Jose,CA,95116,37.347123,-121.868235,1135 E. Santa Clara Street,MF,91,,,,11/19/20,"AB 2162 Streamlined Ministerial Permit to allow the demolition of an existing commercial building and the construction of a 91-unit residential development, with 59 units reserved for permanent supportive housing, with a State Density Bonus Request for two incentives (reduction in commercial requirement, City’s Parking Incentive) and one waiver (open space requirement), located on a 0.40 gross acre site.",,POINT (6163953.860710872 1951769.679873959),Central,Urban Village,3,Pedro Colin,John Rodriguez,San Jose Water Company,948,,Silt Loam,San Jose Unified School District,San Jose Unified School District,,,,,0.13,AO,"Spanish: 61%, English: 24%, Other: 7%, Vietnamese: 5%, Chinese: 3%",,90,Very Walkable,Liquefaction,"70-74, 65-69 FWY",Five Wounds/Brookwood Terrace,Roosevelt Park,JOESORDI,Alex Wong,3-05792,Michelle Kimball,David Jaehning Architect,David Jaehning,,
H20-004,Industrial,Approved,4/9/20,Woz Way,264-31-061,528 Locust St,San Jose,CA,95110,37.325464,-121.889433,276 Woz Way,,,1837673,,,6/29/21,"Site Development Permit to allow the construction of two 20-story office towers with a total of approximately 1.85 million square feet, including 10,107 gross square feet of ground floor retail space and 1,226,600 gross square feet of commercial office space with four levels of below-grade garage parking and four levels of above grade garage parking, and to allow the demolition of 16 single-family residences and 5 associated detached garages and the removal of 30 ordinance-sized trees and 21 non-ordinance-sized trees on the 2.93- gross acre site. ",,POINT (6157675.485506006 1943975.213949835),Central,Downtown,3,Pedro Colin,John Rodriguez,San Jose Water Company,829,,Silt Loam,San Jose Unified School District,San Jose Unified School District,,,,,0.14,X,"Spanish: 65%, English: 25%, Other: 7%, Vietnamese: 2%, Chinese: 1%",60 CNEL,83,Very Walkable,Liquefaction,,No,Downtown,AWANG,Steven Forster,3-25254,Joe Provenzano,"KT Urban Acquisitions, LLC",Mark Tersini,,Mark Tersini
